ts,pts_J1,pts_J2,pts_J3,pts_J4,pts_J5,pts_J6,vel_J1,vel_J2,vel_J3,vel_J4,vel_J5,vel_J6,acc_J1,acc_J2,acc_J3,acc_J4,acc_J5,acc_J6,jerk_J1,jerk_J2,jerk_J3,jerk_J4,jerk_J5,jerk_J6,do_port,do_state
0.0,8.73e-05,0.00020944,-0.350217768,-0.001047198,0.348018653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843203747,3.305122443,-0.822163233,12.12931686,-17.22206528,-16.64150606,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.100002632,0.013127801,0.015528693,-0.354007461,0.055038304,0.268549163,-0.076864126,0.249041802,0.294305048,-0.072578561,1.076038938,-1.522896016,-1.473765875,2.137501191,2.580823596,-0.629369782,9.390895445,-13.23505334,-12.8330356,-7.057025559,-7.24298847,1.927934515,-27.3842142,39.87011938,38.08470461,-1,0
0.200005264,0.047544472,0.056657542,-0.364091183,0.205037703,0.056722172,-0.282065364,0.427511491,0.516178306,-0.12587727,1.878228527,-2.647080343,-2.566674678,1.431798635,1.856524748,-0.43657633,6.652474025,-9.248041403,-9.024565138,-7.057025559,-7.24298847,1.927934515,-27.3842142,39.87011938,38.08470461,-1,0
0.300007897,0.096279884,0.116352615,-0.378540899,0.421565345,-0.247590102,-0.577517004,0.535409067,0.665619772,-0.159896125,2.406568765,-3.372552982,-3.278726411,0.726096079,1.132225901,-0.243782879,3.914052605,-5.261029464,-5.216094677,-7.057025559,-7.24298847,1.927934515,-27.3842142,39.87011938,38.08470461,-1,0
0.400010529,0.152276639,0.187370544,-0.395428572,0.677235573,-0.604515439,-0.925132337,0.572734529,0.742629446,-0.174635129,2.661059653,-3.699313932,-3.609921073,0.020393523,0.407927054,-0.050989427,1.175631185,-1.274017526,-1.407624216,-7.057025559,-7.24298847,1.927934515,-27.3842142,39.87011938,38.08470461,-1,0
0.500013161,0.208477339,0.262467958,-0.412826165,0.944662732,-0.974181623,-1.286824653,0.539487879,0.74720733,-0.170094279,2.641701191,-3.627363194,-3.560258665,-0.685309032,-0.316371793,0.141804024,-1.562790235,2.712994412,2.400846246,-7.057025559,-7.24298847,1.927934515,-27.3842142,39.87011938,38.08470461,-1,0
0.600015793,0.257693401,0.334297162,-0.428818204,1.196293013,-1.316339232,-1.624246719,0.428721914,0.673828782,-0.146938673,2.33958867,-3.136725615,-3.115942897,-1.636275809,-1.235712711,0.311116903,-4.615583755,7.40520977,6.696381316,-11.38654746,-10.68596484,1.513444156,-32.93366158,52.31870906,46.68260315,-1,0
0.700018425,0.290487053,0.393721837,-0.441704537,1.401689673,-1.584271808,-1.894584698,0.20815579,0.496823028,-0.108258744,1.713345503,-2.134584715,-2.212867979,-2.774930555,-2.304309195,0.462461318,-7.908949913,12.63708068,11.36464163,-11.38654746,-10.68596484,1.513444156,-32.93366158,52.31870906,46.68260315,-1,0
0.800021058,0.295779927,0.43012337,-0.450016601,1.528352133,-1.726594812,-2.05190657,-0.107447453,0.214548957,-0.05825463,0.784835074,-0.667086991,-0.890885886,-2.967889759,-3.292849028,0.422437696,-9.842479372,14.96407007,13.6258381,12.36011582,-8.675721314,-3.291857521,1.21219486,-20.62362814,-13.75940186,-1,0
0.90002369,0.272257214,0.433670697,-0.454279392,1.557836088,-1.721934151,-2.075173507,-0.341410924,-0.156841267,-0.03281148,-0.188546541,0.719533173,0.396354896,-1.438668396,-3.795556449,-0.004003421,-8.347475039,10.99494601,10.37876823,54.05022084,43.20265754,-17.12013552,196.5441323,-291.7369466,-279.8064374,-1,0
